IDIndikator;Indikator;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202504;2025/april;124909;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202505;2025/may;121475;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202506;2025/june;120802;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202507;2025/july;123352;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202508;2025/august;119227;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202509;2025/september;122606;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202510;2025/october;124223;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202511;2025/november;126216;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202412;2024/december;126293;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202501;2025/january;118984;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202502;2025/february;117058;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202503;2025/march;122658;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202504;2025/april;123618;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202505;2025/may;120918;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202506;2025/june;120479;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202507;2025/july;121576;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202508;2025/august;118258;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202509;2025/september;122152;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202510;2025/october;123741;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70211;Rakovica;202511;2025/november;126103;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202412;2024/december;174518;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202501;2025/january;171518;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202502;2025/february;167113;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202503;2025/march;175776;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202504;2025/april;177489;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202505;2025/may;171480;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202506;2025/june;171509;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202507;2025/july;180613;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202508;2025/august;170098;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202509;2025/september;172024;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202510;2025/october;170868;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70220;Savski venac;202511;2025/november;174338;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202412;2024/december;90193;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202501;2025/january;91555;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202502;2025/february;88969;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202503;2025/march;91290;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202504;2025/april;94931;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202505;2025/may;93933;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202506;2025/june;91300;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202507;2025/july;93112;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202508;2025/august;91556;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202509;2025/september;94523;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202510;2025/october;96092;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70238;Sopot;202511;2025/november;98141;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70246;Stari grad;202412;2024/december;195061;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70246;Stari grad;202501;2025/january;183120;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70246;Stari grad;202502;2025/february;179727;A;Normal value;F;Free (free for publication);RSD;RSD
